1 FEME 20 183 76 3 15
2 FEME 21 185 72 1 10
3 FEME 22 165 75 5 30
4 FEME 22 174 70 3 15
5 FEME 22 175 70 3 20
6 FEME 20 175 70 4 60
7 FEME 22 174 65 2 05
8 MASC 23 159 54 1 65
9 FEME 21 177 72 3 15
10 FEME 21 180 73 3 15
11 FEME 21 175 68 3 10
12 MASC 22 162 48 5 75 
13 MASC 20 160 65 1 30
14 FEME 20 185 74 4 30
15 FEME 20 182 72 3 15
16 FEME 20 198 88 1 40
17 MASC 20 164 54 5 30
18 MASC 20 162 55 1 15
19 MASC 20 164 53 3 10
20 FEME 19 185 70 5 30
21 MASC 20 165 57 4 15
22 FEME 19 179 67 2 30
23 MASC 21 175 69 3 12
24 MASC 20 168 61 3 07
25 MASC 21 162 60 1 25
26 FEME 21 169 57 3 20
27 MASC 21 170 63 1 65
28 FEME 21 165 65 2 15
29 MASC 21 185 75 1 35
30 MASC 20 162 54 1 20
31 MASC 20 161 48 5 60
32 FEME 21 176 71 5 70 
33 FEME 20 174 71 3 10
34 MASC 21 160 48 5 45
35 FEME 23 174 80 1 12
36 MASC 21 155 48 1 30
37 MASC 21 163 54 2 10
38 FEME 22 180 70 3 15
39 MASC 20 156 47 3 25
40 FEME 20 171 71 3 13
41 FEME 20 170 80 1 15
42 FEME 22 185 81 5 15
43 FEME 22 179 77 1 07
44 FEME 20 175 84 5 40
45 MASC 20 163 57 4 25
46 MASC 20 165 53 1 50
47 MASC 23 168 51 5 20
48 FEME 32 181 67 3 35
49 MASC 22 162 50 3 20
50 MASC 22 172 59 1 45
51 FEME 24 172 75 3 18
52 FEME 23 182 74 1 12
53 FEME 26 175 63 3 16
54 MASC 20 165 62 1 40
55 MASC 21 160 55 5 30
56 FEME 21 175 76 2 12
57 FEME 21 180 72 2 15
58 FEME 20 171 75 3 15
59 FEME 20 172 66 3 20
60 FEME 20 179 69 3 25
61 FEME 21 190 70 5 90
62 FEME 20 173 70 1 51
63 FEME 20 170 60 3 10
64 FEME 20 178 90 1 15
65 FEME 21 179 75 1 20
66 FEME 23 196 85 1 15
67 MASC 20 168 55 3 27
68 MASC 20 155 45 3 30
69 FEME 20 168 56 3 20
70 MASC 20 152 51 5 50
71 FEME 20 191 86 3 10
72 FEME 20 183 69 5 25
73 MASC 21 163 47 5 45
74 FEME 21 185 92 1 10
75 FEME 21 192 77 1 35
76 FEME 20 175 68 . 30
77 MASC 20 166 54 5 45
78 MASC 20 168 62 1 45
79 MASC 21 160 49 3 30
80 MASC 21 161 46 3 30
81 FEME 23 173 78 1 15
82 MASC 22 158 56 3 20
83 FEME 20 195 84 3 16
84 FEME 20 185 79 3 15
85 FEME 20 170 56 5 60
86 FEME 21 173 81 1 08
87 FEME 27 183 66 3 24
88 FEME 22 167 60 3 20
89 FEME 22 172 70 3 09
90 FEME 22 167 61 1 15
91 FEME 21 174 63 1 15
92 FEME 20 173 66 4 15
93 FEME 19 174 . 3 20
94 FEME 20 169 75 3 15
95 FEME 21 178 56 3 13
96 FEME 20 179 63 3 12
97 FEME 21 178 58 1 60
98 FEME 20 186 84 5 30
99 FEME 20 174 72 1 25
100 FEME 22 174 64 3 05
101 FEME 20 172 59 5 55
102 FEME 21 180 66 1 40
103 FEME 22 180 62 3 10
104 FEME 22 176 80 1 40
105 FEME 23 176 74 1 10
106 FEME 20 175 77 1 15
107 FEME 22 186 73 2 08
108 FEME 21 183 74 1 30
109 FEME 21 175 77 1 20
110 FEME 21 180 90 3 15
111 FEME 19 180 60 1 04
112 MASC 20 163 60 5 20
113 MASC 20 164 55 1 15
114 FEME 20 180 64 3 20
115 MASC 21 165 61 5 30
116 FEME 24 172 89 * 30
117 FEME 22 174 80 1 20
118 FEME 25 170 67 3 20
119 MASC 21 160 64 5 45
120 MASC 20 158 54 5 40
121 MASC 21 163 56 5 45
122 FEME 25 174 77 5 45
123 FEME 20 178 73 5 60
124 MASC 19 167 53 1 20
125 FEME 20 174 65 2 20
126 FEME 22 172 66 2 30
127 FEME 20 74 74 3 05
128 FEME 20 178 69 5 45
129 MASC 23 165 55 2 35
130 FEME 21 175 67 3 25
131 FEME 19 175 65 3 15
